Year	Operating_result	Total_cash_from_gov	Work_in_progress_or_deferred_revenue
2000-2001	-13100000	497000000	-7000000
2001-2002	47000000	509500000	2100000
2002-2003	-21700000	532300000	-1900000
2003-2004	-5300000	568600000	1400000
2004-2005	-9200000	577100000	-9700000
2005-2006	9900000	593900000	-8000000
2006-2007	1000000	610100000	-8500000
2007-2008	47700000	663200000	-1400000
2008-2009	122000000	668100000	-14500000
2009-2010	-169000000	704900000	-13600000
2010-2011	-10500000	720400000	5900000
2011-2012	200500000	724900000	-7600000
2012-2013	-21500000	733800000	25100000
2013-2014	-25700000	778200000	-13000000
2014-2015	-14500000	745300000	-6100000
2015-2016	-56600000	750300000	-4000000
2016-2017	-20800000	787300000	-9300000
2017-2018	-59800000	793500000	-2800000
2018-2019	-32800000	834600000	-8900000
2019-2020	-7000000	837900000	-9200000
2021-2022	118900000	949000000	-40500000
2022-2023	17700000	991100000	1100000
2023-2024	14700000	1009200000	-24200000
2024-2025	-59600000	916400000	-30500000
